STATE,AGE.REFP,SEX.REFP,AGE.SPOUSE,SEX.SPOUSE,NUM.CHILD,SALARY,EDU.FATHER,EDU.MOTHER,RACE.SPOUSE,RELIGION.SPOUSE,RACE.REFP,RELIGION.REFP
34,87,1,82,2,0,0,4,4,1,4,1,4
34,58,2,0,0,0,65000,0,0,0,0,1,4
13,70,1,66,2,0,0,4,3,1,4,1,4
51,33,1,31,2,0,171000,8,7,1,7,1,3
12,28,2,0,0,0,0,0,0,0,0,1,4
13,40,1,37,2,1,300000,7,6,1,4,1,4
34,64,1,64,2,0,52000,4,4,1,4,1,10
30,95,1,83,2,0,0,8,7,1,1,1,22
6,66,1,58,2,1,0,5,6,1,15,1,3
19,72,1,72,2,0,0,6,2,1,6,1,6
19,50,1,47,2,4,107000,7,7,1,4,1,4
19,43,1,40,2,3,103000,7,7,1,14,1,6
19,55,1,52,2,1,120000,7,7,1,14,1,14
47,37,2,0,0,3,0,0,0,0,0,1,31
18,46,2,0,0,0,0,0,0,0,0,2,6
34,71,1,70,2,0,0,4,4,2,10,2,10
34,43,1,45,2,2,85000,99,4,1,10,2,10
34,33,1,32,2,0,0,7,4,1,4,2,7
39,38,1,37,2,1,120000,4,8,1,1,1,1
39,66,1,66,2,0,0,4,4,1,10,1,10
39,34,1,34,2,1,80000,7,8,1,1,1,14
45,75,1,73,2,0,0,4,4,1,6,1,6
45,52,1,49,2,1,1000,6,4,1,6,1,6
45,33,1,43,2,1,0,3,2,1,11,1,11
45,25,2,0,0,0,0,0,0,0,0,1,1
45,53,1,54,2,0,0,4,4,1,9,1,9
45,21,1,18,2,0,0,4,4,1,9,1,6
34,78,2,0,0,0,0,0,0,0,0,1,13
34,41,1,43,2,1,0,6,7,1,99,7,15
6,89,2,0,0,0,0,0,0,0,0,1,15
6,53,1,56,2,0,120000,0,0,4,1,1,14
6,28,2,0,0,0,90000,0,0,0,0,1,15
6,25,1,0,0,0,0,0,0,0,0,1,1
6,46,1,47,2,1,0,4,4,1,15,1,15
6,33,1,30,2,0,130000,99,3,1,14,1,13
42,37,1,36,2,2,0,4,4,1,14,1,14
42,21,1,0,0,0,0,0,0,0,0,1,14
42,71,1,68,2,0,0,2,2,1,12,1,12
42,46,1,45,2,1,5000,4,4,1,12,1,12
24,39,1,39,2,4,120000,4,4,1,4,1,4
4,74,2,0,0,0,0,0,0,0,0,5,4
29,53,1,48,2,0,59000,8,3,1,13,1,13
29,42,1,37,2,3,46700,4,4,1,12,1,13
29,71,1,72,2,0,0,6,8,1,13,1,13
29,38,1,37,2,2,50000,6,7,1,14,1,14
12,67,1,0,0,0,0,0,0,0,0,1,13
39,63,1,0,0,0,0,0,0,0,0,1,13
18,48,1,47,2,0,125000,7,4,1,15,1,15
39,61,1,61,2,0,0,99,4,1,13,1,13
21,57,1,0,0,0,0,0,0,0,0,1,3
21,33,1,0,0,1,0,0,0,0,0,1,19
21,70,1,66,2,0,0,99,4,1,6,1,6
21,28,1,27,2,2,0,4,4,1,1,1,6
45,86,1,84,2,0,0,3,3,1,6,1,6
45,59,1,47,2,1,190000,8,7,1,6,1,6
45,57,1,56,2,0,135000,7,4,1,6,1,6
6,26,1,0,0,0,85000,0,0,0,0,1,6
34,24,1,0,0,0,35000,0,0,0,0,1,1
32,64,1,64,2,0,0,4,4,1,4,1,4
6,71,1,0,0,0,0,0,0,0,0,1,2
35,48,1,0,0,0,0,0,0,0,0,1,6
6,45,1,0,0,1,120000,0,0,0,0,1,3
29,40,1,0,0,0,400000,0,0,0,0,1,4
6,38,2,0,0,0,0,0,0,0,0,1,2
35,28,2,0,0,0,0,0,0,0,0,1,14
6,40,1,42,2,2,0,8,7,1,1,7,2
32,39,1,39,2,1,0,7,5,1,4,1,4
6,64,2,0,0,0,0,0,0,0,0,7,4
6,40,2,0,0,1,2900,0,0,0,0,7,4
6,39,2,0,0,0,0,0,0,0,0,1,6
8,39,2,0,0,2,0,0,0,0,0,1,11
6,35,1,38,2,3,0,4,3,1,11,1,11
6,34,1,33,2,2,1875,4,4,1,4,1,4
6,32,2,0,0,0,0,0,0,0,0,1,4
8,20,1,0,0,0,0,0,0,0,0,1,11
6,63,1,60,2,2,0,1,3,7,4,7,4
6,72,1,63,2,0,0,2,3,7,4,7,4
6,48,1,46,2,0,72000,3,4,7,11,1,11
6,47,1,41,2,1,0,5,3,7,4,7,14
6,38,1,33,2,3,0,2,4,3,4,1,1
53,60,1,39,2,0,0,4,2,1,4,1,14
8,22,1,22,2,1,35000,2,4,1,11,1,11
25,49,1,48,2,1,0,99,5,1,4,1,4
25,46,1,41,2,0,0,7,2,1,4,1,4
25,45,1,45,2,2,180000,4,4,1,4,1,7
33,39,2,0,0,0,0,0,0,0,0,1,15
33,38,1,35,2,6,0,99,4,1,11,1,11
33,35,1,33,2,4,0,3,3,1,15,1,15
50,21,1,22,2,1,0,4,4,1,1,1,15
26,69,2,0,0,0,0,0,0,0,0,1,2
26,66,1,63,2,0,0,4,0,1,1,1,1
26,70,1,64,2,0,0,7,7,1,14,1,14
26,70,1,65,2,0,0,99,7,1,4,1,12
4,44,2,0,0,0,0,0,0,0,0,1,2
26,40,1,41,2,2,162000,6,7,1,12,1,12
26,29,1,29,2,0,60000,7,6,1,1,4,1
12,44,1,35,2,1,140000,0,0,1,4,1,9
6,77,2,0,0,0,0,0,0,0,0,1,97
6,52,1,0,0,0,0,0,0,0,0,1,3
18,90,2,0,0,0,0,0,0,0,0,1,6
18,69,2,0,0,0,0,0,0,0,0,1,1
18,65,1,60,2,0,0,4,4,1,14,1,14
18,71,1,0,0,0,0,0,0,0,0,1,99
18,41,1,37,2,2,0,4,4,2,14,1,14
18,39,2,0,0,2,0,0,0,0,0,1,14
18,39,1,33,2,0,0,4,3,2,14,1,14
18,39,1,36,2,3,0,8,6,1,14,1,14
18,36,1,41,2,1,0,6,3,1,15,1,11
18,37,1,34,2,0,0,8,6,1,4,1,14
51,42,1,39,2,0,0,6,6,1,14,1,4
